iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2024 62 1 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.1228 75.4321 28.4323 101.1214 0.0834 0.0000 0.0000 422.2610 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 2 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.5187 77.7098 27.8173 101.0391 0.1354 0.0000 0.0000 420.0436 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 3 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.6605 78.4161 27.6354 100.9914 0.0715 0.0000 0.0000 413.9248 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 4 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.5343 77.9070 27.5989 100.9952 0.0286 0.0000 0.0000 409.8109 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 5 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.3564 78.4862 27.5051 101.0343 0.0141 0.0000 0.0000 407.4093 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 6 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.0360 78.7663 27.4062 101.0869 0.0060 0.0711 0.0000 405.7480 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 7 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.6012 77.4948 27.5252 101.1668 0.0012 38.8178 0.0000 405.0301 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 8 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.8848 75.4949 27.7098 101.2647 0.0005 158.2578 0.0000 407.7845 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 9 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.7689 73.0921 28.0191 101.3348 0.0007 340.8533 0.0000 414.5717 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 10 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.3732 66.0168 29.5165 101.3622 0.0012 545.1111 0.0000 418.9542 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 11 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.9076 58.6741 30.9944 101.3340 0.0012 695.2711 0.0000 424.3151 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 12 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.8064 56.2657 31.4705 101.2377 0.0005 788.4800 0.0000 427.1485 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 13 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.3073 53.8598 31.9934 101.1130 0.0000 786.6133 0.0000 426.9282 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 14 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 3.1975 52.8535 32.1956 100.9897 0.0000 734.9511 0.0000 428.6354 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 15 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 4.0142 55.8706 31.6608 100.8865 0.0000 668.9333 0.0000 427.9165 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 16 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 4.4456 59.6618 31.1239 100.8431 0.0000 526.0444 0.0000 424.2458 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 17 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 4.2936 63.5034 30.6864 100.8822 0.0000 339.7155 0.0000 419.8010 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 18 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 3.7114 67.0873 30.2205 100.9481 0.0000 141.2000 0.0000 414.4619 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 19 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 3.1318 71.5062 29.5847 101.0093 0.0000 23.9111 0.0000 409.8617 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 20 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.7448 75.7650 28.9414 101.0790 0.0000 0.0000 0.0000 408.0397 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 21 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.3273 77.5425 28.7465 101.1385 0.0000 0.0000 0.0000 408.3641 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 22 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.6832 79.0620 28.4803 101.1678 0.0000 0.0000 0.0000 408.5990 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 62 23 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.0396 80.8623 28.1547 101.1540 0.0000 0.0000 0.0000 408.0135 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 0 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.7352 81.7591 28.0527 101.1150 0.0000 0.0000 0.0000 406.7451 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 1 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.8505 82.8341 27.7359 101.0351 0.0000 0.0000 0.0000 405.2320 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 2 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.0233 83.8525 27.3937 100.9618 0.0000 0.0000 0.0000 403.9194 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 3 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.8361 84.5227 27.0680 100.9343 0.0000 0.0000 0.0000 402.1814 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 4 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.4793 84.2510 26.9026 100.9421 0.0000 0.0000 0.0000 400.6024 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 5 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 0.6604 83.9993 26.9752 100.9759 0.0000 0.0000 0.0000 400.6005 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 6 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.2518 84.3711 26.9703 101.0318 0.0005 0.0889 0.0000 401.8746 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 7 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.7550 83.1106 27.3017 101.1171 0.0007 41.4933 0.0000 406.0563 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 8 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.8901 79.9560 27.9065 101.1885 0.0005 198.7911 0.0000 408.6547 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 9 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.5752 76.0680 28.4615 101.2358 0.0036 434.1334 0.0000 410.1470 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 10 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.1846 67.6681 29.9127 101.2435 0.0038 648.0444 0.0000 419.2172 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 11 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.1288 60.2421 31.2870 101.1994 0.0019 789.3156 0.0000 426.6057 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 12 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 1.8337 58.4403 31.5908 101.1064 0.0029 878.0000 0.0000 424.6707 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 13 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 2.8089 57.9073 31.8183 101.0016 0.0324 928.5778 0.0000 422.5107 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 14 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 3.5222 58.7098 31.7849 100.9059 0.0727 874.7378 0.0000 425.1213 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 15 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 4.1009 63.9603 30.7730 100.8219 0.1509 754.3467 0.0000 423.6193 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 16 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 4.4473 70.2747 29.7650 100.8087 0.2089 553.0933 0.0000 422.1304 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 17 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 4.4797 72.0214 29.5455 100.8510 0.0997 308.0178 0.0000 423.9618 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
2024 63 18 0 -999.0000 -999.0000 -999.0000 -999.0000 0.0000 3.9183 71.6759 29.4820 100.9161 0.0000 118.9867 0.0000 426.3499 -999.0000 0.0000 -999.0000 -999.0000 -999.0000 -999.0000 -999.0000
